date,open,high,low,close,volume,log_return
2015-01-05,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,169632600.0,-0.018224421955983547
2015-01-06,166.92894957322903,167.44934175106874,164.2609313452381,165.0539093017578,209151400.0,-0.009463653126384943
2015-01-07,166.3754906183617,167.44930974013607,165.92944926830862,167.1106414794922,125346700.0,0.012383973294837694
2015-01-08,168.5148859394458,170.29082122362388,168.49837475641723,170.0760498046875,147217800.0,0.017589571936535146
2015-01-09,170.4890728778248,170.5055966664213,168.10189588592164,168.71315002441406,158567300.0,-0.008045753129864618
2015-01-12,168.84534696175578,169.00229147312052,166.78856973022198,167.3915557861328,144396100.0,-0.007864222230168139
2015-01-13,168.60580720038158,169.72918563555,165.62389909993922,166.92074584960938,214553300.0,-0.002816589431326966
2015-01-14,164.91346747166824,166.1111962382504,164.02138464722543,165.91294860839844,192991100.0,-0.006055879185062861
2015-01-15,166.54900663505038,166.86288300701946,164.27747086579527,164.3931121826172,176613900.0,-0.009202659789158055
2015-01-16,164.18661346110187,166.70595572276284,164.0048895862307,166.54901123046875,211879600.0,0.01302904280415802
2015-01-20,167.18503146744484,167.44936168573867,165.3430259480595,166.90419006347656,130991100.0,0.0021303077370533326
2015-01-21,166.44167788522262,168.22586961604003,165.97911245959497,167.7467803955078,122942700.0,0.005035647208137979
2015-01-22,168.49838416512793,170.3734244640465,167.12719965980176,170.24127197265625,174356000.0,0.014761094974930597
2015-01-23,169.98520065672528,170.24127526039032,169.17571148901422,169.30787658691406,117516800.0,-0.005497865276992776
2015-01-26,169.09313463881273,169.79523815908667,168.3827629216211,169.70437622070312,92009700.0,0.002339147398339074
2015-01-27,167.65583025769982,168.60573999976427,166.63983797473307,167.46585083007812,134044600.0,-0.013278505052272946
2015-01-28,168.64706860560267,168.74618612993115,165.1282578484053,165.3182373046875,168514300.0,-0.012907127575092658
2015-01-29,165.51650818201227,167.1024518135914,164.1122758358799,166.8463897705078,173585400.0,0.009201240124427221
2015-01-30,165.67343415017112,166.99504739330268,164.48397340858196,164.748291015625,197729700.0,-0.012654767256880011
2015-02-02,165.24393365704213,166.87943616967166,163.43496283666747,166.78857421875,163107000.0,0.012308187560044717
2015-02-03,167.68062446617702,169.20875342530874,167.30892116918625,169.2004852294922,124212900.0,0.014357327263775642
2015-02-04,168.44057206127013,169.64655660572535,168.10190370106497,168.55621337890625,134306700.0,-0.003815010240512738
2015-02-05,169.21707088469543,170.40653195311086,169.14273271890988,170.25784301757812,97953200.0,0.010044706905417948
