,count,mean,median,std
all,2924,0.0005157870790611353,0.0006446882427888403,0.01110424769815062
filtered_iqr,2736,0.0010507453813179393,0.000783653489532648,0.007323565653805169
winsorized,2924,0.0006273202492792924,0.0006446882427888403,0.008115739549078259
