date,open,high,low,close,volume
2015-01-02,170.47257341496748,170.8855799305739,168.6553346631324,169.68785095214844,121465900
2015-01-05,168.6470505972124,168.81225065477216,166.31770079651972,166.62332153320312,169632600
2015-01-06,166.92894957322903,167.44934175106874,164.2609313452381,165.0539093017578,209151400
2015-01-07,166.3754906183617,167.44930974013607,165.92944926830862,167.1106414794922,125346700
2015-01-08,168.51490105817123,170.2908365016817,168.49838987366132,170.07606506347656,147217800
2015-01-09,170.48908829723226,170.5056120873232,168.10191108942752,168.71316528320312,158567300
2015-01-12,168.8453161791333,169.00226066188512,166.7885393225758,167.3915252685547,144396100
2015-01-13,168.60576096190292,169.72913908899594,165.62385367921945,166.9207000732422,214553300
2015-01-14,164.91349780540452,166.11122679229365,164.0214148168744,165.91297912597656,192991100
2015-01-15,166.54899117615352,166.86286751898896,164.2774556177399,164.39309692382812,176613900
2015-01-16,164.18665858815876,166.70600154226656,164.00493466334035,166.54905700683594,211879600
2015-01-20,167.1850008985163,167.4493310684787,165.34299571593226,166.90415954589844,130991100
2015-01-21,166.44163246500446,168.22582370893434,165.97906716560615,167.74673461914062,122942700
2015-01-22,168.49836906255456,170.37340919341256,167.12718468012818,170.2412567138672,174356000
2015-01-23,169.9852312963904,170.24130594621263,169.1757419827697,169.3079071044922,117516800
2015-01-26,169.0931194349828,169.79522289212784,168.3827477816635,169.70436096191406,92009700
2015-01-27,167.65583025769982,168.60573999976427,166.63983797473307,167.46585083007812,134044600
2015-01-28,168.64706860560267,168.74618612993115,165.1282578484053,165.3182373046875,168514300
2015-01-29,165.51647790768044,167.1024212491774,164.11224581839372,166.8463592529297,173585400
2015-01-30,165.67338811674696,166.99500099265984,164.4839277056571,164.7482452392578,197729700
2015-02-02,165.24393365704213,166.87943616967166,163.43496283666747,166.78857421875,163107000
2015-02-03,167.68066983135327,169.20879920391286,167.3089664338,169.20053100585938,124212900
2015-02-04,168.4405415646292,169.6465258907375,168.1018732657409,168.55618286132812,134306700
2015-02-05,169.21704055366874,170.40650140888124,169.1427024012078,170.2578125,97953200
2015-02-06,170.62125595934074,171.18295139519486,169.26659504269838,169.7869873046875,125672000
2015-02-09,169.14271042465256,169.8613378071158,168.62231812482196,169.02706909179688,87219000
2015-02-10,170.05954231341522,171.08379025750745,169.068316736097,170.82772827148438,96164200
2015-02-11,170.6625774875651,171.3564255088663,170.0182882386482,170.92689514160156,91087800
2015-02-12,171.71977982609982,172.62839883835463,170.9598496540111,172.57057189941406,97545900
2015-02-13,172.69454368851316,173.33056462266381,172.43846907159076,173.281005859375,93670400
2015-02-17,172.9671293090362,173.72707241390395,172.71933547479566,173.55360412597656,76968200
2015-02-18,173.18188702097638,173.64445228011232,172.91755681349412,173.5701141357422,80652900
2015-02-19,172.9753766774431,173.80964522816615,172.83495598696246,173.44619750976562,91462500
2015-02-20,173.0332236230692,174.56135292583096,172.41371378745657,174.4870147705078,140896400
2015-02-23,174.2391464711458,174.46217346191406,173.85917502776118,174.46217346191406,74411100
2015-02-24,174.38785846833633,175.1560571033271,174.090493287688,174.9578094482422,72472300
2015-02-25,174.8339377101534,175.31302682594247,174.4704899254886,174.8091583251953,73061700
2015-02-26,174.71830246796685,174.87524698081072,173.99966246725876,174.6026611328125,72697900
2015-02-27,174.50344308833775,174.76777320923932,173.95828427089756,174.00784301757812,108076000
2015-03-02,174.10704020970294,175.1643359693863,174.0574814403365,175.1065216064453,87491400
2015-03-03,174.67694218695533,175.15603116282256,173.52878480470744,174.38783264160156,110325800
2015-03-04,173.7931764722502,173.86752724107197,172.6863217822364,173.6527557373047,114497200
2015-03-05,173.97484964121526,174.12353853152536,173.33882872209776,173.8426971435547,76873000
2015-03-06,172.98363319579175,173.41316346565193,171.06728967572505,171.39768981933594,188128000
2015-03-09,171.59592352318504,172.46322698067183,171.43897905633878,172.10804748535156,89818900
2015-03-10,170.74518923817772,170.82778299344065,169.2748741885522,169.31617736816406,157121300
2015-03-11,169.57220721520224,169.74567549502646,168.83705613205854,168.91966247558594,110145700
2015-03-12,169.5474329380123,171.13337647061587,169.497874171987,171.0673065185547,93993500
2015-03-13,170.79474969819526,171.75291541326115,168.98577880740035,170.01829528808594,162410900
2015-03-16,170.74512438440473,172.38062632334677,170.04300840956867,172.28976440429688,136099200
2015-03-17,171.55463715174756,172.15762309564545,170.96816239253445,171.7776641845703,94510400
2015-03-18,171.30683124757832,174.51176564005567,170.67079772450302,173.8426971435547,228808500
2015-03-19,173.4296846377479,173.85094670509045,172.6614860397028,173.04971313476562,117917300
2015-03-20,173.99646753085457,175.08337297347543,173.8139324393983,174.57725524902344,177715100
2015-03-23,174.58553314874214,175.15802837331734,174.237060546875,174.237060546875,71784500
2015-03-24,174.1125244316846,174.56884923633177,173.19155706085837,173.2579345703125,77805300
2015-03-25,173.46535710878118,173.69767205850724,170.67756505185307,170.7190399169922,159521700
2015-03-26,170.0553560026632,171.22522364528578,169.358398223387,170.31256103515625,153067200
2015-03-27,170.19635140623822,170.87669876838024,170.00551130618186,170.7024688720703,118939000
2015-03-30,171.73131157884472,173.08372670196508,171.71472669332005,172.7850341796875,96180400
2015-03-31,171.96363121206426,172.66058888963727,171.21690621635824,171.2749786376953,126768700
2015-04-01,171.24188317963086,171.26677318144817,169.68204221121297,170.6693878173828,137303600
2015-04-02,170.60298009744596,171.73137306782849,170.42044500957363,171.28334045410156,86900900
2015-04-06,170.3955014457633,172.95097921240085,170.26275905467685,172.4365692138672,114368200
2015-04-07,172.4614980599821,173.20822323643148,171.94708794554901,171.9802703857422,81236300
